,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,462.0,726.0,1368.0,1626.0,1874.0,2721.0,2980.0,3610.0,3764.0,4507.0,5052.0,5744.0,6237.0,6568.0,7503.0,8130.0,8538.0,8935.0,9515.0,9898.0,10207.0,10963.0,11187.0,11973.0
Episode reward,0.0,81.4772058267547,87.85705964626243,68.46885272263108,87.06677916806898,90.41334720917264,59.841328456192606,88.40063142666274,71.85153247384477,92.80077344591395,63.48038072420118,77.39622492210772,70.73660397681962,79.87509002279171,87.39588844729673,62.24305020490232,79.727052317204,84.80420369798395,88.06713552413137,76.2280350307598,86.64263562848363,88.08159166241502,76.6325112762399,89.75375148317026,71.96217904987037
Episode feedback,0.8,0.4934782597967864,0.3384030405383915,0.25741029601028037,0.2373540846795561,0.25910931069186516,0.17494089813836775,0.15891472806622198,0.13195548468687524,0.07189542436669658,0.08760107804905515,0.06433823517584883,0.044862518024800985,0.06300812995323551,0.04242424229568412,0.0289079228812549,0.014376996782145372,0.022113022058690365,0.01515151511325375,0.010362694282620563,0.010471204161070146,0.009740259708635521,0.007947019857023814,0.004484304912626435,0.003821656046087062
total seconds,0.0,29.554683923721313,46.23976397514343,83.4839859008789,98.8433165550232,114.02420163154602,160.37556409835815,175.06430220603943,208.66321516036987,217.34381532669067,255.68646001815796,283.61949706077576,318.25420212745667,343.7130432128906,360.8418548107147,406.89598631858826,437.70005679130554,458.21384358406067,478.0426983833313,506.4497637748718,525.6030220985413,541.2423360347748,578.0898897647858,589.6557731628418,627.7970361709595
total minutes,0.0,0.4925780653953552,0.7706627329190572,1.3913997650146483,1.6473886092503867,1.900403360525767,2.6729260683059692,2.917738370100657,3.4777202526728312,3.6223969221115113,4.261441000302633,4.726991617679596,5.304236702124277,5.728550720214844,6.014030913511912,6.781599771976471,7.295000946521759,7.636897393067678,7.967378306388855,8.440829396247864,8.76005036830902,9.02070560057958,9.634831496079762,9.827596219380696,10.463283936182657
cummulative feedback,0.0,227.0,316.0,481.0,542.0,606.0,754.0,795.0,878.0,889.0,954.0,989.0,1020.0,1051.0,1065.0,1092.0,1101.0,1110.0,1116.0,1122.0,1126.0,1129.0,1135.0,1136.0,1139.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,460.0,263.0,641.0,257.0,247.0,846.0,258.0,629.0,153.0,742.0,544.0,691.0,492.0,330.0,934.0,626.0,407.0,396.0,579.0,382.0,308.0,755.0,223.0,785.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
