,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1634.0,2633.0,3632.0,4458.0,5457.0,6456.0,7455.0,8454.0,9453.0,10452.0,11451.0
Episode reward,0.0,-40.3225973654943,73.50401841322918,-38.105207479272245,-40.37879116032812,69.66424612973229,-36.0705883536272,-36.1662971299734,-35.92441295830048,-35.09497280757651,-35.1509516243574,-36.05724039142828,-34.242801718624506
Episode feedback,0.8,0.5130260515901542,0.3364928904636763,0.24248496969690886,0.17134268519905543,0.11515151501193756,0.06613226446279333,0.04909819634358898,0.03106212421737262,0.02204408815426444,0.0100200400701202,0.007014028049084141,0.0050100200350601
total seconds,0.0,69.27778148651123,109.19196557998657,165.05720281600952,219.32295441627502,261.8419313430786,311.31230306625366,360.3489773273468,407.4722456932068,454.5443367958069,502.87767481803894,549.7999968528748,596.6091706752777
total minutes,0.0,1.154629691441854,1.8198660929997763,2.7509533802668256,3.6553825736045837,4.3640321890513105,5.188538384437561,6.005816288789114,6.79120409488678,7.575738946596782,8.381294580300649,9.163333280881245,9.943486177921296
cummulative feedback,0.0,512.0,725.0,967.0,1138.0,1233.0,1299.0,1348.0,1379.0,1401.0,1411.0,1418.0,1423.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,633.0,998.0,998.0,825.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
