,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,824.0,1823.0,2727.0,3726.0,4725.0,5724.0,6723.0,7722.0,8721.0,9720.0,10719.0,11718.0
Episode reward,0.0,64.2909076125272,-49.618641660662334,59.33247535813993,-33.54903505895759,-37.20258704334905,-35.94072702136977,-34.48262698821879,-33.21040227105699,-32.984004463521444,-32.31774430053158,-32.654222846221934,-32.95718602829418
Episode feedback,0.8,0.5158150845306386,0.2585170338091012,0.2602436320484567,0.16633266516399534,0.08917835662406978,0.05911823641370918,0.04909819634358898,0.026052104182312522,0.02104208414725242,0.00200400801402404,0.013026052091156261,0.00400801602804808
total seconds,0.0,55.25012969970703,112.83648419380188,164.87966513633728,217.49193000793457,266.6237726211548,314.50237369537354,361.7701256275177,408.20397663116455,454.5315546989441,499.7363336086273,545.4556603431702,590.7762489318848
total minutes,0.0,0.9208354949951172,1.880608069896698,2.7479944189389545,3.624865500132243,4.443729543685913,5.241706228256225,6.029502093791962,6.803399610519409,7.575525911649068,8.328938893477122,9.090927672386169,9.846270815531414
cummulative feedback,0.0,424.0,682.0,917.0,1083.0,1172.0,1231.0,1280.0,1306.0,1327.0,1329.0,1342.0,1346.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,822.0,998.0,903.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
