,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,812.0,1811.0,2810.0,3809.0,4808.0,5807.0,6806.0,7805.0,8804.0,9803.0,10802.0,11801.0
Episode reward,0.0,69.22166822120147,-41.77938272605978,-36.68387679039784,-32.70254155609457,-36.3773749571513,-33.250421245220295,-33.001646943874135,-34.16203887713459,-34.91506039431845,-33.5856985870679,-33.9068211626415,-34.14194533779282
Episode feedback,0.8,0.5123456783798201,0.2555110217880651,0.2294589176057526,0.1743486972200915,0.0951903806661419,0.0651302604557813,0.03807615226645676,0.0200400801402404,0.02104208414725242,0.0100200400701202,0.00801603205609616,0.0050100200350601
total seconds,0.0,53.50787830352783,111.00423169136047,167.66116309165955,221.92198300361633,273.36842489242554,323.93535709381104,373.4603524208069,421.03151202201843,468.4581847190857,515.3847119808197,561.8324935436249,608.0608551502228
total minutes,0.0,0.8917979717254638,1.8500705281893413,2.7943527181943257,3.698699716726939,4.5561404148737585,5.398922618230184,6.224339207013448,7.017191867033641,7.807636411984761,8.589745199680328,9.363874892393747,10.134347585837046
cummulative feedback,0.0,415.0,670.0,899.0,1073.0,1168.0,1233.0,1271.0,1291.0,1312.0,1322.0,1330.0,1335.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,810.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
