,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,915.0,1914.0,2556.0,3555.0,4554.0,5553.0,6552.0,7551.0,8550.0,9549.0,10548.0,11547.0
Episode reward,0.0,60.96333781139083,-41.516136291793394,74.6217154832383,-37.21104567754509,-32.92710365273198,-32.119476894171534,-32.699020487294796,-33.132277599433394,-31.96494278369693,-31.446457654436337,-31.065614822751176,-32.259302109492715
Episode feedback,0.8,0.4775465493126544,0.3246492982718945,0.240249609609595,0.18737474931124776,0.1102204407713222,0.056112224392673125,0.06713426846980534,0.02304609216127646,0.01703406811920434,0.01603206411219232,0.00901803606310818,0.007014028049084141
total seconds,0.0,58.748146057128906,119.70621752738953,157.1023862361908,212.07100629806519,264.18887186050415,313.07918334007263,362.29523372650146,410.0312247276306,456.3348503112793,504.117472410202,551.677524805069,598.9047906398773
total minutes,0.0,0.9791357676188152,1.995103625456492,2.6183731039365132,3.53451677163442,4.403147864341736,5.217986389001211,6.038253895441691,6.833853745460511,7.6055808385213215,8.401957873503367,9.194625413417816,9.981746510664623
cummulative feedback,0.0,436.0,760.0,914.0,1101.0,1211.0,1267.0,1334.0,1357.0,1374.0,1390.0,1399.0,1406.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,913.0,998.0,641.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
