,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0
Episode reward,0.0,-48.76172341244745,-47.140990832191676,-46.62065497436246,-45.937538462991355,-44.392866645174365,-44.10067656588722,-44.45637118275785,-45.39838761482981,-46.242761653398794,-45.37712608677363,-45.879074132837935,-45.60298143412822
Episode feedback,0.8,0.34368737440512287,0.250501001753005,0.12725450889052656,0.08316633258199767,0.08817635261705777,0.05110220435761302,0.03807615226645676,0.0200400801402404,0.0150300601051803,0.00901803606310818,0.007014028049084141,0.0030060120210360602
total seconds,0.0,65.59216809272766,123.09664940834045,175.989177942276,227.09511423110962,278.49603629112244,328.4275441169739,377.881920337677,426.75642681121826,475.3402247428894,523.721214056015,571.9855523109436,620.2050542831421
total minutes,0.0,1.0932028015454611,2.0516108234723407,2.9331529657046,3.7849185705184936,4.641600604852041,5.473792401949565,6.29803200562795,7.112607113520304,7.922337079048157,8.728686900933583,9.533092538515726,10.336750904719034
cummulative feedback,0.0,343.0,593.0,720.0,803.0,891.0,942.0,980.0,1000.0,1015.0,1024.0,1031.0,1034.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
