,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,523.0,1165.0,2164.0,3163.0,4162.0,5161.0,6160.0,7159.0,8158.0,9157.0,10156.0,11155.0
Episode reward,0.0,73.40545563617707,73.47697441169905,-39.457882124297115,-34.954042047672985,-33.3765807088711,-35.634598592806995,-36.26174207173096,-33.13554804868956,-34.465884028317305,-33.53100070782583,-33.02985204780608,-32.53521840656055
Episode feedback,0.8,0.4625719760795164,0.41341653601651085,0.3306613223139666,0.20641282544447612,0.1302605209115626,0.07414829651888949,0.048096192336576964,0.033066132231396664,0.02204408815426444,0.014028056098168281,0.0060120240420721205,0.0060120240420721205
total seconds,0.0,34.10476207733154,76.05983662605286,139.2561378479004,198.43325662612915,255.33451414108276,307.7567744255066,358.54390478134155,408.66892409324646,458.1681921482086,506.29708909988403,551.8712983131409,597.5130016803741
total minutes,0.0,0.568412701288859,1.2676639437675477,2.3209356307983398,3.307220943768819,4.255575235684713,5.129279573758443,5.9757317463556925,6.811148734887441,7.636136535803477,8.4382848183314,9.19785497188568,9.958550028006236
cummulative feedback,0.0,241.0,506.0,836.0,1042.0,1172.0,1246.0,1294.0,1327.0,1349.0,1363.0,1369.0,1375.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,521.0,641.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
